Source Short Name,Language
ADITYAPUR,Hindi
AGRA,Hindi
AGRA-SIKANDRA,Hindi
AGRA-VIP ROAD,Hindi
AIRPORT ROAD-LUCKNOW,Hindi
AJMER,Hindi
AKBARPUR,Hindi
ALIGARH,Hindi
ALIGARH-ETAH CHUNGI,Hindi
ALLAHABAD,Hindi
AMBALA,Hindi
AMROHA,Hindi
ARAMBAGH,Bangla
ARRAH,Hindi
AURANGABAD,Hindi
AZAMGARH,Hindi
BADAUN,Hindi
BAGAHA,Hindi
BAHRAICH,Hindi
BALIA,Hindi
BANDA,Hindi
BANDEL,Bangla
BANKA,Hindi
BARABANKI,Hindi
BAREILLY,Hindi
BARIPADA,Odiya
BASTI,Hindi
BASTI-MALVIYA ROAD,Hindi
BEGUSARAI,Hindi
BEGUSARAI-HEMRA ROAD,Hindi
BERASIA,Hindi
BERHAMPUR,Odiya
BETTIAH,Hindi
BHABUA,Hindi
BHADRAK,Odiya
BHAGALPUR,Hindi
BHAGESHWAR NAGAR,Hindi
BHANGEL,Hindi
BHOJUBEER,Hindi
BHOPAL,Hindi
BHOPAL-BAIRAGARH,Hindi
BHOPAL-CHUNABHATTI,Hindi
BHOPAL-KAROND,Hindi
BIJNOR,Hindi
BIRSA CHOWK-RANCHI,Hindi
BISALPUR-EIDGAH CHAURAHA,Hindi
BISWANATH CHARIALI,Assamese
BORING ROAD-PATNA,Hindi
BULANDSHAHR-RAJA BABU RD,Hindi
BURDWAN,Bangla
BUXAR,Hindi
CANT ROAD,Hindi
CHAAS,Hindi
CHAKIA,Hindi
CHANDAUSI-BAHJOI ROAD,Hindi
CHANDIGARH,Hindi
CHHAPRA,Hindi
CHINHAT-LUCKNOW,Hindi
CHOWK,Hindi
CHURCH ROAD,Hindi
CONTAI,Bangla
COOCH BEHAR,Bangla
CUTTACK,Odiya
DALANWALA-DEHRADUN,Hindi
DALTONGANJ-REDMA CHOWK,Hindi
DARBHANGA,Hindi
DAUD NAGAR,Hindi
DEHRADUN,Hindi
DELHI-NARELA,Hindi
DEOGHAR,Hindi
DEORIA,Hindi
DHANBAD-BANK MORE,Hindi
