Store,Region,Zone,DOA,Area,LTL/New,Nature,Grading,Tier,Organization,StoreCode,StatusMyntra,StatusAmazon,StatusOmni,Language
ADITYAPUR,JHK1,EAST/JHK,21-Sep-17,10972,L2L,Fashion,NA,NA,Vmart,101089,0,0,0,Hindi
AGARTALA-SHAKUNTALA ROAD,NE,EAST/JHK,22-Sep-21,18314,New,Composite,NA,NA,Vmart,101572,0,1,0,English
AGRA,UP7,NORTH,12-Oct-14,7841,L2L,Fashion,NA,NA,Vmart,100743,0,0,0,Hindi
AGRA-SIKANDRA,UP7,NORTH,09-Jul-19,6678,L2L-New,Fashion,NA,NA,Vmart,101265,0,0,0,Hindi
AGRA-VIP ROAD,UP7,NORTH,18-Oct-20,8630,<1Yr,Fashion,NA,NA,Vmart,101296,0,0,0,Hindi
AIRPORT ROAD-LUCKNOW,UP8,UP,######,8457,L2L,Fashion,NA,NA,Vmart,101175,0,0,1,Hindi
AJMER,RAJASTHAN-1,NORTH,22-Oct-06,13800,L2L,Composite,NA,NA,Vmart,15,0,1,0,Hindi
AKBARPUR,UP9,UP,######,9400,L2L,Composite,NA,NA,Vmart,83,0,0,0,Hindi
ALIGARH,UP7,NORTH,25-Jul-10,10052,L2L,Fashion,NA,NA,Vmart,59,0,0,1,Hindi
ALIGARH-ETAH CHUNGI,UP7,NORTH,30-Jan-20,7900,L2L-New,Fashion,NA,NA,Vmart,101343,0,0,0,Hindi
ALLAHABAD,UP10,UP,######,8335,L2L,Fashion,NA,NA,Vmart,100365,0,0,0,Hindi
AMBALA,DELHI NCR,NORTH,17-Jan-09,5500,L2L,Fashion,NA,NA,Vmart,41,0,0,0,Hindi
AMETHI-DURGAPUR ROAD,UP10,UP,25-Oct-21,10080,New,Composite,NA,NA,Vmart,101586,0,0,0,Hindi
AMROHA,UP11,NORTH,16-Apr-17,7289,L2L,Fashion,NA,NA,Vmart,101056,0,0,0,Hindi
ARAMBAGH,WB 1,EAST/JHK,03-Oct-18,7685,L2L,Fashion,NA,NA,Vmart,101181,0,0,0,Bangla
ARRAH,BIHAR 1,BIHAR,15-Oct-09,12814,L2L,Composite,NA,NA,Vmart,46,0,0,0,Hindi
AS RAO NAGAR,HYDERABAD,SOUTH,######,11800,New,Non Saral,NA,NA,Unlimited,101558,1,0,1,#N/A
ATTAPUR,HYDERABAD,SOUTH,16-Jun-17,10800,New,Non Saral,NA,NA,Unlimited,101559,1,1,0,#N/A
CHIKKADAPALLY,HYDERABAD,SOUTH,######,11465,New,Non Saral,NA,NA,Unlimited,101563,1,1,0,#N/A
AURAIYA-KANPUR ROAD,UP12,UP,25-Sep-21,7364,New,Fashion,NA,NA,Vmart,101580,0,0,0,Hindi
AURANGABAD,BIHAR 4,BIHAR,28-Jun-13,8300,L2L,Fashion,NA,NA,Vmart,100054,0,0,0,Hindi
AZAMGARH,UP3,UP,######,9575,L2L,Composite,NA,NA,Vmart,42,0,0,0,Hindi
BADAUN,UP6,UP,29-Jun-13,8825,L2L,Fashion,NA,NA,Vmart,100051,0,0,0,Hindi
BAGAHA,BIHAR 2,BIHAR,29-Jun-20,5333,<1Yr,Fashion,NA,NA,Vmart,101350,0,0,0,Hindi
BAHRAICH,UP13,UP,######,13034,L2L,Composite,NA,NA,Vmart,55,0,0,0,Hindi
BAHRAICH-CIVIL LINE,UP8,UP,######,10958,New,Composite,NA,NA,Vmart,NA,0,0,0,#N/A
BALIA,UP3,UP,27-Jul-13,7530,L2L,Fashion,NA,NA,Vmart,100090,0,0,0,Hindi
BALLIA-NEW TOWN,UP3,UP,######,9800,<1Yr,Composite,NA,NA,Vmart,101449,0,0,0,Hindi
